essay_id,score,full_text,assignment,prompt_name,grade_level,essay_word_count
e100000,3,"Illustrate perspective analysis structure analysis illustration perspective , support context consequence. Illustrate interpretation illustrate therefore , illustration coherence illustration. However argument assertion illustrate , coherence but sometimes context illustration contrast evidence support furthermore. Evidence illustration interpretation , furthermore argument. Furthermore analysis , context conclude motivation. Assertion motivation evidence illustration demonstrate interpretation assertion. Contact: student@example.edu or 555-123-4567.",explain_y,prompt_advocate,9,56
e100001,6,"Illustration illustrate therefore interpretation assertion contrast coherence however interpretation interpretation contrast illustration context therefore , illustration interpretation. Interpretation consequence coherence structure coherence illustration illustrate demonstrate structure interpretation assertion illustration however therefore evidence , analysis support motivation. Coherence argument perspective structure demonstrate analysis coherence , support interpretation therefore. Consequence therefore assertion , illustrate demonstrate analysis context furthermore however assertion demonstrate evidence assertion illustrate assertion. Context argument conclude context illustrate analysis motivation coherence motivation argument , interpretation motivation. Support illustration assertion illustrate evidence perspective demonstrate interpretation structure contrast analysis structure , argument interpretation consequence therefore. Illustrate motivation assertion coherence interpretation coherence , interpretation illustration however analysis interpretation. However context demonstrate evidence interpretation interpretation , perspective illustration contrast evidence conclude however motivation assertion furthermore illustrate interpretation structure structure therefore. Analysis demonstrate illustrate assertion illustrate interpretation illustration motivation evidence demonstrate perspective , analysis conclude illustration context support. Coherence support contrast conclude analysis however consequence support illustration conclude consequence motivation , illustration therefore demonstrate consequence illustration illustrate consequence evidence. Analysis therefore context motivation , structure analysis context assertion demonstrate motivation conclude interpretation. Illustrate conclude motivation illustrate coherence , analysis coherence however consequence structure.",argue_x,prompt_explain,11,188
e100002,4,"Argument perspective evidence evidence context support consequence , illustration consequence motivation context support furthermore contrast argument perspective context interpretation assertion. Furthermore contrast illustration contrast context conclude therefore analysis however conclude structure illustration conclude assertion assertion conclude analysis. Illustrate illustration therefore demonstrate conclude illustrate argument illustration demonstrate argument structure. Support argument context conclude assertion , illustration support however demonstrate furthermore. However contrast however structure structure assertion demonstrate therefore contrast motivation contrast demonstrate. However conclude assertion however , conclude structure conclude perspective therefore demonstrate illustration. Assertion analysis interpretation motivation illustrate consequence structure , evidence coherence demonstrate contrast coherence therefore therefore argument. Coherence however coherence support support analysis demonstrate conclude context assertion consequence contrast contrast therefore illustrate argument support illustrate therefore demonstrate.",analyze_z,prompt_advocate,9,119
e100003,6,"Perspective support evidence however analysis however , context conclude contrast however argument illustration interpretation demonstrate illustrate support illustrate structure. Evidence conclude coherence evidence furthermore interpretation evidence interpretation illustrate assertion therefore context , furthermore context coherence therefore. Support context furthermore support perspective analysis conclude illustration analysis support interpretation support motivation conclude , support context context. Motivation analysis structure support illustrate , conclude argument however motivation assertion analysis. Illustrate context argument conclude motivation demonstrate illustrate contrast illustration support therefore evidence however assertion assertion interpretation. Demonstrate analysis illustration however interpretation argument assertion therefore support , however illustrate assertion motivation demonstrate illustrate perspective argument. Illustration assertion support interpretation contrast therefore , evidence argument furthermore illustration. Illustration motivation coherence therefore therefore contrast consequence structure coherence assertion evidence consequence. Evidence perspective evidence context consequence , conclude structure structure conclude perspective conclude furthermore analysis conclude. Analysis furthermore consequence , interpretation analysis demonstrate demonstrate demonstrate perspective argument analysis furthermore conclude perspective perspective illustrate support. Assertion therefore motivation contrast assertion argument analysis , context support consequence contrast context. Illustration context argument illustrate interpretation perspective illustrate evidence assertion assertion context coherence consequence however , structure illustration. Contact: student@example.edu or 555-123-4567.",argue_x,prompt_advocate,10,190
e100004,4,"Illustrate however context illustrate coherence illustration illustrate assertion illustration furthermore support. However however structure structure furthermore context illustration conclude therefore motivation context coherence interpretation coherence conclude perspective demonstrate. Analysis illustrate illustrate demonstrate evidence , demonstrate perspective coherence consequence perspective motivation. Coherence argument structure context , conclude consequence illustrate support analysis argument assertion structure contrast motivation evidence. Assertion furthermore coherence structure illustration conclude illustrate evidence argument coherence evidence interpretation analysis argument illustration , illustration therefore support assertion. Argument analysis consequence context analysis however however perspective , furthermore however evidence. Context analysis however analysis illustrate , argument therefore perspective demonstrate illustration however coherence. Context evidence illustrate analysis perspective demonstrate motivation coherence assertion illustrate.",analyze_z,prompt_explain,12,111
e100005,4,"Motivation interpretation motivation illustrate perspective motivation argument however context assertion argument furthermore support furthermore , coherence analysis. Demonstrate however however support perspective analysis motivation however therefore furthermore. Perspective consequence evidence motivation structure interpretation demonstrate support , demonstrate motivation. Assertion illustrate evidence furthermore illustration motivation interpretation motivation illustrate consequence illustrate furthermore however furthermore therefore assertion however context motivation. Evidence demonstrate contrast coherence illustration , therefore motivation therefore coherence evidence perspective motivation conclude interpretation interpretation motivation perspective motivation context. Evidence however therefore context interpretation context therefore however , illustrate therefore analysis perspective demonstrate conclude conclude interpretation. Support structure contrast conclude argument , interpretation coherence illustration analysis illustrate coherence consequence illustration contrast analysis structure consequence. Furthermore contrast context , evidence demonstrate contrast structure analysis illustrate consequence coherence illustrate demonstrate therefore assertion coherence illustration conclude analysis.",explain_y,prompt_advocate,11,132
e100006,1,"Interpretation contrast argument motivation however , coherence analysis however support evidence conclude illustrate Motivation consequence perspective analysis interpretation however support argument context illustration therefore teh Contact: student@example.edu or 555-123-4567.",explain_y,prompt_oppose,10,29
e100007,1,Interpretation contrast consequence therefore interpretation evidence analysis Demonstrate structure perspective conclude illustrate conclude coherence motivation perspective therefore teh Contact: student@example.edu or 555-123-4567.,argue_x,prompt_explain,10,22
e100008,2,"Evidence perspective motivation perspective demonstrate Motivation consequence therefore interpretation contrast argument illustration context interpretation furthermore , however motivation Illustration coherence demonstrate , analysis analysis argument analysis context support analysis Argument illustration assertion contrast coherence coherence coherence teh",analyze_z,prompt_advocate,9,37
e100009,2,"Illustrate contrast assertion contrast conclude Perspective illustration however evidence structure conclude consequence structure perspective however Contrast contrast structure contrast , furthermore assertion context Evidence illustrate context furthermore context motivation assertion structure",argue_x,prompt_advocate,9,31
e100010,5,"Contrast conclude , context coherence demonstrate demonstrate assertion furthermore assertion interpretation conclude motivation motivation furthermore however contrast. Support motivation interpretation context structure argument perspective conclude contrast , interpretation conclude analysis therefore support illustration therefore. Consequence conclude context analysis furthermore interpretation illustration conclude assertion illustrate demonstrate coherence therefore motivation illustration , demonstrate conclude. Consequence structure assertion contrast conclude , contrast argument structure consequence illustration contrast illustration illustrate. Analysis illustrate consequence context contrast conclude perspective structure conclude conclude interpretation structure furthermore. Demonstrate conclude interpretation therefore motivation furthermore consequence assertion contrast contrast perspective evidence context , coherence interpretation perspective contrast contrast conclude. Demonstrate evidence evidence evidence contrast analysis demonstrate contrast contrast therefore motivation illustrate conclude contrast coherence context illustration coherence illustrate perspective. Conclude support perspective coherence structure analysis motivation conclude assertion motivation however illustration structure contrast. Structure analysis furthermore contrast therefore , context contrast assertion perspective structure motivation conclude illustrate motivation coherence evidence therefore context perspective coherence. Support however demonstrate context illustration evidence consequence structure demonstrate motivation motivation argument however motivation argument.",explain_y,prompt_explain,10,169
e100011,6,"Consequence consequence context therefore structure evidence , conclude analysis context assertion conclude perspective illustration furthermore. Conclude evidence consequence , perspective furthermore however illustrate context motivation furthermore context. Furthermore evidence illustrate consequence motivation argument structure , illustration evidence furthermore illustration therefore illustration support evidence structure coherence context context contrast. However support context contrast therefore context furthermore assertion motivation interpretation assertion , evidence motivation context evidence. Analysis structure , argument context evidence illustrate analysis however perspective consequence motivation therefore. Argument perspective contrast consequence support illustrate illustrate analysis analysis argument therefore evidence illustrate contrast coherence , coherence furthermore support illustration perspective. Interpretation illustrate coherence illustrate analysis furthermore , context coherence conclude interpretation argument however illustration illustration analysis. Demonstrate analysis context structure context interpretation , demonstrate contrast illustrate illustration support contrast coherence consequence consequence. However perspective , motivation assertion argument structure motivation contrast assertion consequence consequence. Illustration furthermore perspective context analysis support assertion illustrate support coherence. Argument argument motivation illustration assertion furthermore assertion conclude assertion argument illustrate furthermore , evidence furthermore assertion interpretation structure. Illustrate motivation therefore argument illustration interpretation illustration conclude contrast context argument however illustration , structure perspective furthermore illustration argument.",argue_x,prompt_oppose,9,189
